time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-09-25T01:16:37.700Z,35.987,-96.7872,2.893,4,mwr,,76,,0.73,us,us20003nwb,2015-12-28T23:08:38.040Z,"1km W of Cushing, Oklahoma",earthquake,1.9,4.8,0.037,72,reviewed,tul,us
2015-09-18T12:35:16.600Z,35.9931,-96.7997,0.208,4.1,mwr,,54,,0.82,us,us20003l6t,2015-12-21T23:16:20.040Z,"3km WNW of Cushing, Oklahoma",earthquake,2.5,6,0.034,82,reviewed,tul,us
2015-09-16T16:10:47.340Z,34.1371667,-116.858,9.55,4,mw,210,20,0.0779,0.17,ci,ci37243591,2016-03-11T15:37:22.924Z,"13km SSE of Big Bear Lake, CA",earthquake,0.08,0.19,,8,reviewed,ci,ci
2015-09-14T13:55:48.087Z,41.8594,-119.6271,9.7,4.7,ml,10,98.44,0.157,0.2669,nn,nn00510518,2016-02-04T20:13:17.000Z,"69km ESE of Lakeview, Oregon",earthquake,4.01,4.3,0.4,6,reviewed,nn,nn
2015-09-14T01:12:10.890Z,24.6694,-109.3617,10,4,mb,,154,1.031,1.38,us,us20003j8e,2015-12-12T00:42:51.040Z,"107km SSW of Topolobampo, Mexico",earthquake,5.7,2,0.06,75,reviewed,us,us
2015-09-13T15:04:54.450Z,24.9039,-109.3154,10,4.9,mb,,83,1.206,0.84,us,us20003j5w,2016-02-04T20:13:15.000Z,"81km SSW of Topolobampo, Mexico",earthquake,5.8,1.8,0.04,197,reviewed,us,us
2015-09-13T12:37:20.450Z,24.8355,-109.3874,10,4.2,mb,,85,1.112,1.02,us,us20003nye,2015-12-12T00:42:50.040Z,"91km SSW of Topolobampo, Mexico",earthquake,7,2,0.064,68,reviewed,us,us
2015-09-13T08:27:12.440Z,24.9529,-109.7119,10,5.2,mb,,56,1.006,0.92,us,us20003j54,2015-12-12T00:42:50.040Z,"97km SW of Topolobampo, Mexico",earthquake,4.3,1.8,0.042,189,reviewed,us,us
2015-09-13T08:14:08.560Z,24.913,-109.6226,10,6.7,mww,,123,1.256,0.65,us,us20003j4u,2016-02-04T20:13:14.000Z,"95km SW of Topolobampo, Mexico",earthquake,6.6,2,,,reviewed,us,us
2015-09-13T07:57:33.460Z,24.8094,-109.5138,10,5.6,mww,,117,1.185,1.25,us,us20003j4t,2016-03-02T18:00:34.454Z,"99km SSW of Topolobampo, Mexico",earthquake,8.1,2,,,reviewed,us,us
